asv	sample	count	relab
018770835b4dd064ac19da5b337d25d1	FD541	58	0.002268283144309738
018770835b4dd064ac19da5b337d25d1	FD560	21	0.0026325686348251222
018770835b4dd064ac19da5b337d25d1	FD566	187	0.007334771523828202
018770835b4dd064ac19da5b337d25d1	FD568	41	0.003095741467834491
018770835b4dd064ac19da5b337d25d1	FD571	83	0.006291215038277875
018770835b4dd064ac19da5b337d25d1	FD577	35	0.0018456021936300358
01f75bceadf3fe6d9336364b9674894a	518	21	0.0038230475150191155
01f75bceadf3fe6d9336364b9674894a	566	14	8.088277774568143e-4
01f75bceadf3fe6d9336364b9674894a	568	8	2.4129818423116367e-4
01f75bceadf3fe6d9336364b9674894a	571	14	5.02837439839092e-4
01f75bceadf3fe6d9336364b9674894a	FD518	77	0.005518526481760195
01f75bceadf3fe6d9336364b9674894a	FD528	12	7.452953232718465e-4
01f75bceadf3fe6d9336364b9674894a	FD566	26	0.0010198078054520494
01faa904260ce8d4d0bf93d3902e328e	213	6	3.53440150801131e-4
01faa904260ce8d4d0bf93d3902e328e	528	21	0.001644736842105263
01faa904260ce8d4d0bf93d3902e328e	529	13	0.0019362526064938934
01faa904260ce8d4d0bf93d3902e328e	568	2	6.032454605779092e-5
01faa904260ce8d4d0bf93d3902e328e	FD529	5	3.2152273165712814e-4
01faa904260ce8d4d0bf93d3902e328e	FD566	7	2.745636399293979e-4
01faa904260ce8d4d0bf93d3902e328e	FD571	11	8.337754870006822e-4
01feed1ff22425510339865c557fb28c	571	11	3.950865598735723e-4
0211335d3d92c86c41fbfa6d56e22b23	566	9	5.199607140793807e-4
02250cdea5fd4b3f08506421a0b358e3	200	3	9.200196270853778e-5
02250cdea5fd4b3f08506421a0b358e3	FD198	235	0.007565027040947721
02bb807a993e919c13832ebf1f1969c3	FD566	5	1.9611688566385565e-4
0308b5e1ebed55f367471e486220f343	FD519	18	4.031264697319209e-4
030feed23a1266cf74e27eff5aefa356	212	100	0.0038517833757029506
030feed23a1266cf74e27eff5aefa356	229	9	6.515129578688288e-4
030feed23a1266cf74e27eff5aefa356	FD213	33	0.0012033255542590433
030feed23a1266cf74e27eff5aefa356	FD560	38	0.00476369562492165
031eeca4a3df45d99e8a1d385cd42983	568	15	4.5243409543343187e-4
031eeca4a3df45d99e8a1d385cd42983	FD519	2	4.479182997021343e-5
033edf3a178eeb45f9cd036f033a8378	198	93	0.0032234584589788916
033edf3a178eeb45f9cd036f033a8378	200	120	0.0036800785083415115
